RECTYPE,ALPHAIND,LEA,ESTAB,URN,SCHNAME,ADDRESS1,ADDRESS2,ADDRESS3,TOWN,PCODE,TELNUM,URN_AC,SCHNAME_AC,OPEN_AC,NFTYPE,ICLOSE,RELDENOM,AGERANGE,CONFEXAM,TAB15,TAB1618,TOTPUPS,TPUPYEAR,TELIG,BELIG,GELIG,PBELIG,PGELIG,TKS1AVERAGE,TKS1GROUP_L,PTKS1GROUP_L,TKS1GROUP_M,PTKS1GROUP_M,TKS1GROUP_H,PTKS1GROUP_H,TKS1GROUP_NA,PTKS1GROUP_NA,TFSM6CLA1A,PTFSM6CLA1A,TNotFSM6CLA1A,PTNotFSM6CLA1A,TEALGRP2,PTEALGRP2,TMOBN,PTMOBN,TSENELSE,PSENELSE,PTRWM_EXP,PTRWM_HIGH,READPROG,READPROG_LOWER,READPROG_UPPER,READCOV,WRITPROG,WRITPROG_LOWER,WRITPROG_UPPER,WRITCOV,MATPROG,MATPROG_LOWER,MATPROG_UPPER,MATCOV,PTREAD_EXP,PTREAD_HIGH,PTREAD_AT,READ_AVERAGE,PTGPS_EXP,PTGPS_HIGH,PTGPS_AT,GPS_AVERAGE,PTMAT_EXP,PTMAT_HIGH,PTMAT_AT,MAT_AVERAGE,PTWRITTA_EXP,PTWRITTA_HIGH,PTWRITTA_WTS,PTWRITTA_AD,PTSCITA_EXP,PTSCITA_AD,PTREADTA_EXP,PTREADTA_AD,PTMATTA_EXP,PTMATTA_AD,PTRWM_EXP_B,PTRWM_EXP_G,PTRWM_EXP_L,PTRWM_EXP_M,PTRWM_EXP_H,PTRWM_EXP_FSM6CLA1A,PTRWM_EXP_NotFSM6CLA1A,DIFFN_RWM_EXP,PTRWM_EXP_EAL,PTRWM_EXP_MOBN,PTRWM_HIGH_B,PTRWM_HIGH_G,PTRWM_HIGH_L,PTRWM_HIGH_M,PTRWM_HIGH_H,PTRWM_HIGH_FSM6CLA1A,PTRWM_HIGH_NotFSM6CLA1A,DIFFN_RWM_HIGH,PTRWM_HIGH_EAL,PTRWM_HIGH_MOBN,READPROG_B,READPROG_B_LOWER,READPROG_B_UPPER,READPROG_G,READPROG_G_LOWER,READPROG_G_UPPER,READPROG_L,READPROG_L_LOWER,READPROG_L_UPPER,READPROG_M,READPROG_M_LOWER,READPROG_M_UPPER,READPROG_H,READPROG_H_LOWER,READPROG_H_UPPER,READPROG_FSM6CLA1A,READPROG_FSM6CLA1A_LOWER,READPROG_FSM6CLA1A_UPPER,READPROG_NotFSM6CLA1A,READPROG_NotFSM6CLA1A_LOWER,READPROG_NotFSM6CLA1A_UPPER,DIFFN_READPROG,READPROG_EAL,READPROG_EAL_LOWER,READPROG_EAL_UPPER,READPROG_MOBN,READPROG_MOBN_LOWER,READPROG_MOBN_UPPER,WRITPROG_B,WRITPROG_B_LOWER,WRITPROG_B_UPPER,WRITPROG_G,WRITPROG_G_LOWER,WRITPROG_G_UPPER,WRITPROG_L,WRITPROG_L_LOWER,WRITPROG_L_UPPER,WRITPROG_M,WRITPROG_M_LOWER,WRITPROG_M_UPPER,WRITPROG_H,WRITPROG_H_LOWER,WRITPROG_H_UPPER,WRITPROG_FSM6CLA1A,WRITPROG_FSM6CLA1A_LOWER,WRITPROG_FSM6CLA1A_UPPER,WRITPROG_NotFSM6CLA1A,WRITPROG_NotFSM6CLA1A_LOWER,WRITPROG_NotFSM6CLA1A_UPPER,DIFFN_WRITPROG,WRITPROG_EAL,WRITPROG_EAL_LOWER,WRITPROG_EAL_UPPER,WRITPROG_MOBN,WRITPROG_MOBN_LOWER,WRITPROG_MOBN_UPPER,MATPROG_B,MATPROG_B_LOWER,MATPROG_B_UPPER,MATPROG_G,MATPROG_G_LOWER,MATPROG_G_UPPER,MATPROG_L,MATPROG_L_LOWER,MATPROG_L_UPPER,MATPROG_M,MATPROG_M_LOWER,MATPROG_M_UPPER,MATPROG_H,MATPROG_H_LOWER,MATPROG_H_UPPER,MATPROG_FSM6CLA1A,MATPROG_FSM6CLA1A_LOWER,MATPROG_FSM6CLA1A_UPPER,MATPROG_NotFSM6CLA1A,MATPROG_NotFSM6CLA1A_LOWER,MATPROG_NotFSM6CLA1A_UPPER,DIFFN_MATPROG,MATPROG_EAL,MATPROG_EAL_LOWER,MATPROG_EAL_UPPER,MATPROG_MOBN,MATPROG_MOBN_LOWER,MATPROG_MOBN_UPPER,READ_AVERAGE_B,READ_AVERAGE_G,READ_AVERAGE_L,READ_AVERAGE_M,READ_AVERAGE_H,READ_AVERAGE_FSM6CLA1A,READ_AVERAGE_NotFSM6CLA1A,READ_AVERAGE_EAL,READ_AVERAGE_MOBN,MAT_AVERAGE_B,MAT_AVERAGE_G,MAT_AVERAGE_L,MAT_AVERAGE_M,MAT_AVERAGE_H,MAT_AVERAGE_FSM6CLA1A,MAT_AVERAGE_NotFSM6CLA1A,MAT_AVERAGE_EAL,MAT_AVERAGE_MOBN,GPS_AVERAGE_B,GPS_AVERAGE_G,GPS_AVERAGE_L,GPS_AVERAGE_M,GPS_AVERAGE_H,GPS_AVERAGE_FSM6CLA1A,GPS_AVERAGE_NotFSM6CLA1A,GPS_AVERAGE_EAL,GPS_AVERAGE_MOBN,PTREAD_EXP_L,PTREAD_EXP_M,PTREAD_EXP_H,PTREAD_EXP_FSM6CLA1A,PTREAD_EXP_NotFSM6CLA1A,PTGPS_EXP_L,PTGPS_EXP_M,PTGPS_EXP_H,PTGPS_EXP_FSM6CLA1A,PTGPS_EXP_NotFSM6CLA1A,PTMAT_EXP_L,PTMAT_EXP_M,PTMAT_EXP_H,PTMAT_EXP_FSM6CLA1A,PTMAT_EXP_NotFSM6CLA1A,PTWRITTA_EXP_L,PTWRITTA_EXP_M,PTWRITTA_EXP_H,PTWRITTA_EXP_FSM6CLA1A,PTWRITTA_EXP_NotFSM6CLA1A,PTREAD_HIGH_L,PTREAD_HIGH_M,PTREAD_HIGH_H,PTREAD_HIGH_FSM6CLA1A,PTREAD_HIGH_NotFSM6CLA1A,PTGPS_HIGH_L,PTGPS_HIGH_M,PTGPS_HIGH_H,PTGPS_HIGH_FSM6CLA1A,PTGPS_HIGH_NotFSM6CLA1A,PTMAT_HIGH_L,PTMAT_HIGH_M,PTMAT_HIGH_H,PTMAT_HIGH_FSM6CLA1A,PTMAT_HIGH_NotFSM6CLA1A,PTWRITTA_HIGH_L,PTWRITTA_HIGH_M,PTWRITTA_HIGH_H,PTWRITTA_HIGH_FSM6CLA1A,PTWRITTA_HIGH_NotFSM6CLA1A,TEALGRP1,PTEALGRP1,TEALGRP3,PTEALGRP3,TSENELAPK,PSENELSAPK,TSENELE,PSENELE,TSENELK,PSENELK,TSENELST,PSENELST,TSENELSAP,PSENELSAP,SENELN,PSENELN,PTFSM6CLA1A_16,PTNOTFSM6CLA1A_16,PTRWM_EXP_16,PTRWM_HIGH_16,PTRWM_EXP_FSM6CLA1A_16,PTRWM_EXP_NotFSM6CLA1A_16,PTRWM_HIGH_FSM6CLA1A_16,PTRWM_HIGH_NotFSM6CLA1A_16,READPROG_16,READPROG_LOWER_16,READPROG_UPPER_16,WRITPROG_16,WRITPROG_LOWER_16,WRITPROG_UPPER_16,MATPROG_16,MATPROG_LOWER_16,MATPROG_UPPER_16,READ_AVERAGE_16,MAT_AVERAGE_16
1,20778,931,2058,122997,The Grange Community Primary School,Avocet Way,,,Banbury,OX16 9YA,0129 5257861,0,,,CY,0,Does not apply,4-11,,0,0,304,46,45,26,19,58%,42%,16.1,6,14%,21,49%,16,37%,2,4%,11,24%,34,76%,5,11%,38,84%,0,0%,69%,7%,-0.2,-2.1,1.7,96%,0.6,-1.2,2.4,96%,0.5,-1.2,2.2,96%,78%,20%,0%,104,82%,24%,0%,105,89%,18%,0%,105,82%,13%,18%,0%,87%,0%,91%,0%,87%,0%,65%,74%,17%,57%,100%,45%,76%,-22,SUPP,71%,4%,11%,0%,0%,19%,0%,9%,-11,SUPP,5%,-0.7,-3.2,1.8,0.5,-2.3,3.3,8.9,3.9,13.9,-2.3,-5.0,0.4,-0.7,-3.8,2.4,-0.6,-4.3,3.1,0.0,-2.2,2.2,-0.9,SUPP,SUPP,SUPP,-1.0,-3.0,1.0,0.2,-2.2,2.6,1.1,-1.6,3.8,2.1,-2.7,6.9,0.6,-2.0,3.2,0.1,-2.9,3.1,-0.9,-4.5,2.7,1.1,-1.0,3.2,-1.1,SUPP,SUPP,SUPP,0.3,-1.7,2.3,1.8,-0.5,4.1,-1.2,-3.7,1.3,6.3,1.8,10.8,0.1,-2.3,2.5,-1.3,-4.1,1.5,-0.6,-3.9,2.7,0.8,-1.1,2.7,-0.9,SUPP,SUPP,SUPP,0.3,-1.5,2.1,103,105,102,100,109,101,105,SUPP,103,105,103,100,103,108,101,106,SUPP,105,106,105,98,103,111,102,107,SUPP,105,67%,62%,100%,64%,82%,50%,76%,100%,55%,91%,67%,86%,100%,64%,97%,17%,86%,100%,55%,91%,33%,5%,38%,9%,24%,0%,10%,50%,27%,24%,0%,5%,38%,0%,24%,0%,0%,38%,9%,15%,40,89%,0,0%,8,18%,0,0%,8,18%,0,0%,0,0%,0,0%,16%,84%,61%,5%,33%,66%,0%,6%,2.6,0.5,4.7,-0.6,-2.7,1.5,0.9,-0.9,2.7,106,105
1,21216,931,2104,123002,Great Tew County Primary School,Great Tew,,,Chipping Norton,OX7 4DB,0160 8683642,0,,,CY,0,Does not apply,5-11,,0,0,94,8,8,5,3,63%,38%,16.1,2,25%,2,25%,4,50%,0,0%,1,13%,7,88%,0,0%,8,100%,0,0%,75%,25%,0.1,-4.5,4.7,88%,2.4,-1.8,6.6,100%,-2.3,-6.2,1.6,100%,75%,38%,0%,106,75%,38%,0%,105,75%,25%,0%,102,75%,38%,25%,0%,75%,0%,75%,0%,75%,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,75%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,25%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,0.1,-4.5,4.7,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,2.4,-1.8,6.6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,-2.3,-6.2,1.6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,106,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,102,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,105,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,8,100%,0,0%,2,25%,0,0%,2,25%,0,0%,0,0%,0,0%,7%,93%,86%,0%,SUPP,SUPP,SUPP,SUPP,3,-0.6,6.6,-0.2,-3.8,3.4,-1.4,-4.4,1.6,107,103
1,26170,931,2001,142200,Hornton Primary School,Church Lane,Hornton,,Banbury,OX15 6BZ,0129 5670335,0,,,ACC,0,Does not apply,5-11,R,0,0,102,16,16,9,7,56%,44%,16.9,1,7%,6,43%,7,50%,2,13%,0,0%,16,100%,0,0%,15,94%,0,0%,50%,19%,2.2,-1.1,5.5,88%,-0.7,-3.9,2.5,88%,0.3,-2.6,3.2,88%,69%,44%,0%,105,69%,44%,0%,106,69%,25%,0%,104,56%,38%,31%,0%,63%,0%,56%,0%,56%,0%,56%,43%,SUPP,33%,86%,,50%,,,53%,11%,29%,SUPP,0%,43%,,19%,,,20%,5.0,0.7,9.3,-1.5,-6.5,3.5,SUPP,SUPP,SUPP,7.2,2.2,12.2,-0.7,-5.3,3.9,,,,SUPP,SUPP,SUPP,,NA,NA,NA,2.7,-0.7,6.1,-0.3,-4.5,3.9,-1.2,-6.0,3.6,SUPP,SUPP,SUPP,-2.1,-6.9,2.7,2.3,-2.2,6.8,,,,SUPP,SUPP,SUPP,,NA,NA,NA,0.3,-3.0,3.6,2.9,-1.0,6.8,-3.1,-7.6,1.4,SUPP,SUPP,SUPP,0.6,-3.9,5.1,-0.1,-4.3,4.1,,,,SUPP,SUPP,SUPP,,NA,NA,NA,0.7,-2.4,3.8,106,104,SUPP,108,110,,SUPP,,105,105,104,SUPP,102,110,,SUPP,,105,105,108,SUPP,103,115,,SUPP,,107,SUPP,83%,86%,,SUPP,SUPP,67%,100%,,SUPP,SUPP,67%,100%,,SUPP,SUPP,33%,100%,,SUPP,SUPP,50%,57%,,SUPP,SUPP,17%,86%,,SUPP,SUPP,0%,57%,,SUPP,SUPP,17%,71%,,SUPP,16,100%,0,0%,2,13%,0,0%,2,13%,0,0%,0,0%,0,0%,23%,77%,46%,15%,SUPP,SUPP,SUPP,SUPP,-1,-4.4,2.4,0.5,-2.9,3.9,-4.6,-7.5,-1.7,104,101
1,22590,931,2060,122999,Hardwick Primary School,Ferriston,,,Banbury,OX16 1XE,0129 5258355,0,,,CY,0,Does not apply,4-11,,0,0,194,25,24,15,9,63%,38%,15.7,3,15%,11,55%,6,30%,4,17%,10,42%,14,58%,9,38%,22,92%,0,0%,63%,8%,-1.5,-4.2,1.2,83%,-0.4,-3.0,2.2,83%,0.8,-1.7,3.3,83%,67%,13%,0%,101,88%,38%,0%,108,79%,21%,0%,104,79%,25%,8%,0%,79%,0%,79%,0%,79%,0%,53%,78%,SUPP,64%,100%,40%,79%,-27,56%,59%,7%,11%,SUPP,0%,33%,10%,7%,-1,0%,9%,-1.8,-5.3,1.7,-1.1,-5.4,3.2,SUPP,SUPP,SUPP,-2.5,-6.2,1.2,-1.0,-6.0,4.0,-2.0,-5.9,1.9,-1.0,-4.9,2.9,-2.3,SUPP,SUPP,SUPP,-1.5,-4.3,1.3,-2.7,-6.1,0.7,3.2,-1.0,7.4,SUPP,SUPP,SUPP,0.9,-2.7,4.5,1.0,-3.8,5.8,-1.0,-4.7,2.7,0.3,-3.4,4.0,-1.2,SUPP,SUPP,SUPP,-0.4,-3.1,2.3,1.6,-1.6,4.8,-0.3,-4.2,3.6,SUPP,SUPP,SUPP,0.3,-3.0,3.6,0.9,-3.6,5.4,0.4,-3.1,3.9,1.2,-2.3,4.7,0.1,SUPP,SUPP,SUPP,0.7,-1.8,3.2,100,103,SUPP,100,109,98,103,99,101,105,104,SUPP,103,111,101,107,104,104,108,109,SUPP,107,113,104,111,108,108,SUPP,64%,100%,50%,79%,SUPP,91%,100%,80%,93%,SUPP,73%,100%,60%,93%,SUPP,82%,100%,60%,93%,SUPP,0%,50%,10%,14%,SUPP,36%,67%,20%,50%,SUPP,0%,67%,20%,21%,SUPP,18%,50%,20%,29%,15,63%,0,0%,7,29%,0,0%,7,29%,0,0%,0,0%,0,0%,39%,61%,65%,0%,56%,71%,0%,0%,0.2,-2.4,2.8,5.1,2.5,7.7,3,0.8,5.2,102,105
1,37198,931,2357,123025,North Kidlington Primary School,Benmead Road,,,Kidlington,OX5 2DA,0186 5372607,0,,,CY,0,Does not apply,4-11,,0,0,292,40,40,21,19,53%,48%,15.9,6,17%,18,51%,11,31%,5,13%,12,30%,28,70%,10,25%,33,83%,3,8%,65%,8%,0.5,-1.6,2.6,88%,-1.3,-3.3,0.7,88%,1.1,-0.8,3.0,88%,75%,20%,0%,105,75%,33%,0%,106,83%,28%,0%,106,73%,10%,25%,0%,88%,0%,73%,0%,73%,0%,57%,74%,17%,56%,100%,58%,68%,-9,60%,67%,5%,11%,0%,0%,18%,25%,0%,14,0%,9%,0.9,-1.9,3.7,-0.1,-3.2,3.0,2.0,-3.0,7.0,0.6,-2.3,3.5,-0.7,-4.4,3.0,0.4,-3.3,4.1,0.5,-2.0,3.0,0.1,3.1,-1.2,7.4,0.1,-2.1,2.3,-2.2,-4.9,0.5,-0.3,-3.3,2.7,1.3,-3.5,6.1,-1.6,-4.4,1.2,-2.2,-5.8,1.4,-1.7,-5.3,1.9,-1.1,-3.5,1.3,-1.9,2.3,-1.9,6.5,-0.8,-2.9,1.3,0.7,-1.8,3.2,1.7,-1.1,4.5,1.4,-3.1,5.9,0.2,-2.4,2.8,2.5,-0.8,5.8,2.1,-1.2,5.4,0.7,-1.6,3.0,1.8,3.8,-0.1,7.7,1.2,-0.8,3.2,104,105,93,104,110,104,105,103,104,105,106,97,103,113,107,105,105,106,103,109,96,104,113,106,106,106,106,17%,78%,100%,75%,75%,33%,72%,100%,67%,79%,50%,78%,100%,75%,86%,17%,72%,100%,58%,79%,0%,6%,55%,33%,14%,0%,11%,73%,42%,29%,0%,6%,73%,42%,21%,0%,0%,27%,25%,4%,30,75%,0,0%,7,18%,0,0%,7,18%,3,8%,0,0%,0,0%,38%,62%,51%,7%,41%,57%,0%,11%,-2,-3.9,-0.1,-3.5,-5.4,-1.6,0.8,-0.8,2.4,102,105
1,42626,931,3238,123157,Radley Church of England Primary School,Church Road,Radley,,Abingdon,OX14 3QF,0123 5520814,0,,,VC,0,Church of England,3-11,,0,0,122,15,15,9,6,60%,40%,17.3,1,8%,5,38%,7,54%,2,13%,1,7%,14,93%,1,7%,15,100%,0,0%,80%,27%,0.9,-2.5,4.3,87%,1.0,-2.3,4.3,87%,0.0,-3.1,3.1,87%,87%,47%,0%,107,87%,40%,0%,108,87%,47%,0%,106,87%,40%,7%,0%,93%,0%,93%,0%,87%,0%,89%,67%,SUPP,SUPP,100%,SUPP,SUPP,SUPP,SUPP,80%,22%,33%,SUPP,SUPP,57%,SUPP,SUPP,SUPP,SUPP,27%,0.1,-4.5,4.7,1.8,-3.2,6.8,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1.1,-3.5,5.7,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0.9,-2.5,4.3,0.2,-4.3,4.7,2.0,-2.8,6.8,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,4.0,-0.5,8.5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1.0,-2.3,4.3,0.2,-4.0,4.4,-0.3,-4.8,4.2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1.9,-2.3,6.1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0.0,-3.1,3.1,108,106,SUPP,SUPP,112,SUPP,SUPP,SUPP,107,108,104,SUPP,SUPP,112,SUPP,SUPP,SUPP,106,108,108,SUPP,SUPP,114,SUPP,SUPP,SUPP,108,SUPP,SUPP,100%,SUPP,SUPP,SUPP,SUPP,100%,SUPP,SUPP,SUPP,SUPP,100%,SUPP,SUPP,SUPP,SUPP,100%,SUPP,SUPP,SUPP,SUPP,71%,SUPP,SUPP,SUPP,SUPP,86%,SUPP,SUPP,SUPP,SUPP,86%,SUPP,SUPP,SUPP,SUPP,86%,SUPP,SUPP,14,93%,0,0%,1,7%,0,0%,1,7%,0,0%,0,0%,0,0%,8%,92%,58%,8%,SUPP,SUPP,SUPP,SUPP,0,-3.7,3.7,-1.5,-5.2,2.2,-2.3,-5.5,0.9,105,104
1,47868,931,3225,142664,"St James Church of England Primary School, Hanney",The Causeway,,,Wantage,OX12 0JN,0123 5868232,0,,,ACC,0,Church of England,5-11,,0,0,119,16,16,7,9,44%,56%,14.6,3,19%,11,69%,2,13%,0,0%,2,13%,14,88%,0,0%,14,88%,1,6%,38%,0%,-0.6,-3.7,2.5,100%,-1.5,-4.5,1.5,100%,-2.3,-5.1,0.5,100%,50%,19%,0%,101,44%,0%,0%,100,44%,0%,0%,99,56%,0%,44%,0%,63%,0%,69%,0%,56%,0%,14%,56%,SUPP,36%,SUPP,SUPP,SUPP,SUPP,,36%,0%,0%,SUPP,0%,SUPP,SUPP,SUPP,SUPP,,0%,-0.5,-5.1,4.1,-0.6,-4.7,3.5,SUPP,SUPP,SUPP,-1.6,-5.3,2.1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,-0.5,-3.8,2.8,-2.4,-6.9,2.1,-0.8,-4.7,3.1,SUPP,SUPP,SUPP,-1.3,-4.9,2.3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,-1.5,-4.7,1.7,-0.4,-4.6,3.8,-3.8,-7.5,-0.1,SUPP,SUPP,SUPP,-2.7,-6.0,0.6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,-1.4,-4.3,1.5,98,103,SUPP,100,SUPP,SUPP,SUPP,,100,99,99,SUPP,99,SUPP,SUPP,SUPP,,99,97,102,SUPP,99,SUPP,SUPP,SUPP,,100,SUPP,45%,SUPP,SUPP,SUPP,SUPP,36%,SUPP,SUPP,SUPP,SUPP,45%,SUPP,SUPP,SUPP,SUPP,64%,SUPP,SUPP,SUPP,SUPP,9%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,16,100%,0,0%,6,38%,1,6%,6,38%,0,0%,0,0%,0,0%,19%,81%,50%,6%,SUPP,SUPP,SUPP,SUPP,-0.3,-3.7,3.1,-1.4,-4.8,2,-4.6,-7.5,-1.7,105,101
1,7456,931,2250,142645,Brize Norton Primary School,Station Road,Brize Norton,,Carterton,OX18 3PL,0199 3842488,0,,,ACC,0,Does not apply,5-11,,0,0,117,16,17,8,9,47%,53%,18.4,1,6%,3,18%,13,76%,0,0%,0,0%,17,100%,0,0%,14,82%,0,0%,76%,12%,1.1,-1.9,4.1,100%,-3.2,-6.1,-0.3,100%,0.4,-2.3,3.1,100%,94%,59%,0%,110,94%,53%,0%,109,100%,53%,0%,108,76%,24%,24%,0%,94%,0%,94%,0%,94%,0%,50%,100%,SUPP,SUPP,92%,,76%,,,71%,0%,22%,SUPP,SUPP,15%,,12%,,,14%,1.4,-2.9,5.7,0.9,-3.2,5.0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1.3,-2.1,4.7,,,,SUPP,SUPP,SUPP,,NA,NA,NA,1.5,-1.8,4.8,-6.0,-10.2,-1.8,-0.6,-4.5,3.3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-2.5,-5.8,0.8,,,,SUPP,SUPP,SUPP,,NA,NA,NA,-2.8,-6.0,0.4,1.8,-2.1,5.7,-0.9,-4.6,2.8,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0.4,-2.7,3.5,,,,SUPP,SUPP,SUPP,,NA,NA,NA,1.2,-1.7,4.1,107,112,SUPP,SUPP,112,,SUPP,,109,107,109,SUPP,SUPP,111,,SUPP,,109,106,112,SUPP,SUPP,111,,SUPP,,109,SUPP,SUPP,100%,,SUPP,SUPP,SUPP,100%,,SUPP,SUPP,SUPP,100%,,SUPP,SUPP,SUPP,92%,,SUPP,SUPP,SUPP,77%,,SUPP,SUPP,SUPP,62%,,SUPP,SUPP,SUPP,69%,,SUPP,SUPP,SUPP,31%,,SUPP,17,100%,0,0%,2,12%,0,0%,2,12%,0,0%,0,0%,0,0%,6%,94%,81%,0%,SUPP,SUPP,SUPP,SUPP,1.3,-1.8,4.4,-4.2,-7.3,-1.1,-1.4,-4,1.2,108,105
1,37184,931,3237,123156,North Hinksey Church of England Primary School,North Hinksey Lane,Botley,,Oxford,OX2 0LZ,0186 5248626,144584,North Hinksey Church of England Primary School,20171001,VC,0,Church of England,5-11,,0,0,208,30,30,18,12,60%,40%,16.8,0,0%,18,67%,9,33%,3,10%,2,7%,28,93%,3,10%,30,100%,0,0%,70%,13%,4.9,2.6,7.2,90%,0.0,-2.3,2.3,90%,0.7,-1.4,2.8,90%,90%,53%,0%,110,90%,40%,0%,108,90%,27%,0%,106,73%,30%,23%,0%,80%,0%,90%,0%,93%,0%,61%,83%,,61%,100%,SUPP,SUPP,SUPP,SUPP,70%,6%,25%,,0%,44%,SUPP,SUPP,SUPP,SUPP,13%,4.3,1.3,7.3,5.8,1.9,9.7,NA,NA,NA,4.7,1.8,7.6,5.2,1.1,9.3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,4.9,2.6,7.2,-1.4,-4.3,1.5,2.4,-1.3,6.1,NA,NA,NA,-2.3,-5.1,0.5,4.5,0.6,8.4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0.0,-2.3,2.3,1.1,-1.6,3.8,0.1,-3.4,3.6,NA,NA,NA,1.3,-1.3,3.9,-0.4,-4.1,3.3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0.7,-1.4,2.8,109,111,,108,116,SUPP,SUPP,SUPP,110,106,105,,104,110,SUPP,SUPP,SUPP,106,108,109,,106,113,SUPP,SUPP,SUPP,108,,89%,100%,SUPP,SUPP,,89%,100%,SUPP,SUPP,,89%,100%,SUPP,SUPP,,67%,100%,SUPP,SUPP,,39%,89%,SUPP,SUPP,,28%,78%,SUPP,SUPP,,17%,56%,SUPP,SUPP,,6%,89%,SUPP,SUPP,27,90%,0,0%,3,10%,0,0%,3,10%,0,0%,0,0%,0,0%,10%,90%,60%,0%,SUPP,SUPP,SUPP,SUPP,-1,-3.2,1.2,-3.1,-5.4,-0.8,-2.1,-4,-0.2,104,102
2,26800,931,7018,139312,The Iffley Academy,Iffley Turn,,,Oxford,OX4 4DU,0186 5747606,0,,,ACCS,0,Does not apply,5-18,,1,0,138,1,1,SUPP,SUPP,SUPP,SUPP,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,,,,,,SUPP,,,,SUPP,,,,,,SUPP,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,SUPP,SUPP,SUPP,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,SUPP,SUPP,SUPP,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,SUPP,SUPP,SUPP,,NA,NA,NA,NA,NA,NA,SUPP,,,,,,SUPP,,,SUPP,,,,,,SUPP,,,SUPP,,,,,,SUPP,,,,,,,SUPP,,,,,SUPP,,,,,SUPP,,,,,SUPP,,,,,SUPP,,,,,SUPP,,,,,SUPP,,,,,SUPP,SUPP,SUPP,SUPP,SUPP,,,,,,,,,,,,,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
